id,consent_1,consent_2,consent_3,consent_4,consent_final,consent_screen,consent_stop,consented_at,created,method,results_email,results_opt_in,updated,user
mktw1y8smz1ml8t,True,True,True,True,True,False,False,2026-07-06 12:34:24.527Z,2026-07-06 12:34:24.530Z,A,,False,2026-07-06 12:34:24.530Z,bc56f126724fbb5b
yc71rd6bqpcdti0,True,True,True,True,True,False,False,2026-07-06 12:34:30.247Z,2026-07-06 12:34:30.248Z,A,,False,2026-07-06 12:34:30.248Z,5e73badbe38abb33
a5s3ihmktkuih8t,True,True,True,True,True,False,False,2026-07-06 12:35:11.969Z,2026-07-06 12:35:11.970Z,A,,False,2026-07-06 12:35:11.970Z,8e4a80df3812470f
6sq1b05o1tnhl73,True,True,True,True,True,False,False,2026-07-06 12:37:50.395Z,2026-07-06 12:37:50.396Z,A,,False,2026-07-06 12:37:50.396Z,4c86ed884e17d0af
5nbk6gk3egtcruk,True,True,True,True,True,False,False,2026-07-08 17:16:21.710Z,2026-07-08 17:16:21.714Z,A,,False,2026-07-08 17:16:21.714Z,0975d6bbf2b53d26
1qbi95rfxfpngz6,True,True,True,True,True,False,False,2026-07-09 11:05:17.932Z,2026-07-09 11:05:17.934Z,A,,False,2026-07-09 11:05:17.934Z,2ca359773483ca75
86gk65mgq6h37qa,True,True,True,True,True,False,False,2026-07-13 12:44:18.565Z,2026-07-13 12:44:18.566Z,A,,False,2026-07-13 12:44:18.566Z,7db1f5da708157e4
