id,author,branch_depth,content,created,current_vote_count,in_focus,is_champion,labels,opposition_count,parent_proposals,primary_label,question,reason_for_change,root_proposal,state,subscription_count,support_count,title,unique_viewer_count,updated
ag5sv0ccn95l28j,bc56f126724fbb5b,1,<p>Using the SBB's Churchill. But we need more people.</p><p></p><p>The “Churchill” Red Arrow | SBB https://share.google/qGB8w6VEHNLCT3Txu</p>,2026-07-06 13:06:18.311Z,2,True,True,[],0,"[""cnla3q3vkdwsvs8""]",,kppusrz7tvrdl1u,added link to red arrow,cnla3q3vkdwsvs8,FinalWinner,2,2,SBB red arrow,1,2026-08-09 13:22:02.361Z
txzw6b8rlgu20pc,bc56f126724fbb5b,2,"<p>make using cars more expensive while maging public transit cheaper</p><p></p><p>Depending on a car for daily chores should not be needed or cheaper than public transit.</p><p></p><p>For accessibility, we could offer free parking lots at train stations outside of the city to enable commuting for those that don't live next to a station.</p>",2026-07-06 13:13:30.803Z,1,True,True,[],0,"[""fw9ektyjhiiy0m7"", ""xwnr10w9hva55qy""]",,fipe1arpisjzor5,i combined the best of both worlds :),txzw6b8rlgu20pc,FinalWinner,1,1,Behavioral nudging,2,2026-08-09 13:22:02.412Z
pmhaqr83fuaiv2u,8e4a80df3812470f,2,<p>Using the SBB's Churchill and fondue cable car make me sick.</p>,2026-07-06 13:13:41.468Z,0,False,False,[],0,"[""cnla3q3vkdwsvs8"", ""9831fmu4i76891c""]",,kppusrz7tvrdl1u,I merge bad ideas,pmhaqr83fuaiv2u,Inactive,0,0,Bad ideas,3,2026-07-23 16:45:30.383Z
ky8ujsvwtkj6zix,5e73badbe38abb33,1,"<p>Depending on a car for daily chores should not be needed or cheaper than public transit. To make public transport more competetive, we propose to tax cars, especially cars in dense urban areas (e.g. with a road tax) and to improve public transport at the same time, e.g. by providing enough parking lots next to main commuter stations and by making public transport cheaper than private transport. </p>",2026-07-06 13:15:37.929Z,2,False,False,[],0,"[""r1b7ompt9b76grh"", ""xwnr10w9hva55qy""]",,fipe1arpisjzor5,It combines incentives with disincentivising private transport.,ky8ujsvwtkj6zix,Inactive,2,2,incetivise public transport and disincentivise personal transport,2,2026-07-23 16:45:30.384Z
yfd2x34mjh39c2h,8e4a80df3812470f,0,"<p>Spend two days training in survival techniques. No less, no more.</p>",2026-07-08 08:53:53.691Z,1,False,False,[],0,[],,0kueh5y5qyvwbsw,,yfd2x34mjh39c2h,Inactive,1,1,Survival training,3,2026-07-23 16:45:30.384Z
g4okbm833u2s7p3,0975d6bbf2b53d26,1,"<p>An American Wrestling session would be a good way to start preparing for survival, but would not take an entirety of two days without a hotel room.</p>",2026-07-08 17:27:02.794Z,1,True,True,[],0,"[""yfd2x34mjh39c2h""]",,0kueh5y5qyvwbsw,Critiquing the assumption that we could spend the entire next retreat on this. Perhaps another time,yfd2x34mjh39c2h,FinalWinner,1,1,Survival training,4,2026-08-09 13:22:02.313Z
b9r2nj74wa5tpux,0975d6bbf2b53d26,2,<p>You have to sing-explain your slides to the tune of a song. The slides are a mix of slidesets from various people and projects.</p>,2026-07-08 17:31:07.538Z,1,True,True,[],0,"[""spffen97k7ns0ku""]",,0kueh5y5qyvwbsw,Adding missing context of how the slideset is created.,wd2kaskq51zmpto,FinalWinner,1,1,Actual Karaoke,3,2026-08-09 13:22:02.314Z
r3u9fuuk5jkap90,0975d6bbf2b53d26,1,"<p>Everybody proposes a paper that they really like and that, likely, nobody else has read, and produce Notebook LM podcasts or videos about it, which we share with everyone.</p>",2026-07-08 17:34:56.816Z,1,True,True,[],0,"[""i9gomw5ltfz18ey""]",,0kueh5y5qyvwbsw,Adding the assumption of having just one hour to spend on all the interesting papers proposed.,i9gomw5ltfz18ey,FinalWinner,1,1,Broadening the horizon,3,2026-08-09 13:22:02.313Z
oufg6lngsdal44q,0975d6bbf2b53d26,0,"<p>Let's co-create a fictional story while sitting a fireside or so, where the next person adds some features to the story told so far - perhaps involving people named like actual team members. </p>",2026-07-08 17:39:31.490Z,1,True,True,[],0,[],,0kueh5y5qyvwbsw,,oufg6lngsdal44q,FinalWinner,1,1,Fireside storytelling - A heroic plot unfolds,3,2026-08-09 13:22:02.314Z
iy38izhecpibmie,0975d6bbf2b53d26,0,<p>Let's start the evening with a collaborative or competitive group game and then continue with a joint cooking session. </p>,2026-07-08 17:49:46.833Z,1,True,True,[],0,[],,kppusrz7tvrdl1u,,iy38izhecpibmie,FinalWinner,1,1,Survival of the hungriest,2,2026-08-09 13:22:02.361Z
tab6wja68t8mppz,2ca359773483ca75,2,"<p>Depending on a car for daily chores should not be needed or cheaper than public transit. To make public transport more competitive, we propose taxing cars, especially in dense urban areas (e.g. with a road tax) and making public transport free for everyone. </p>",2026-07-10 11:27:48.496Z,2,True,True,[],0,"[""ky8ujsvwtkj6zix""]",,fipe1arpisjzor5,"In this version, public transport is free for everyone.",ky8ujsvwtkj6zix,FinalWinner,2,2,incetivise public transport and disincentivise personal transport,4,2026-08-09 13:22:02.412Z
97adr1rsnye7gby,2ca359773483ca75,1,"<p>Everybody proposes a paper that they authored that, likely, nobody else has read. We shuffle the papers and everyone gets to engage with a paper that they would never have read otherwise. We get to know each other's research interests and broaden our horizons, funfunfun!</p>",2026-07-10 11:34:59.843Z,0,False,False,[],0,"[""i9gomw5ltfz18ey""]",,0kueh5y5qyvwbsw,We focus on our own papers to know each other better,i9gomw5ltfz18ey,Inactive,0,0,Broadening the horizon,1,2026-07-23 16:45:30.386Z
