id,action_type,created,metadata_json,occurred_at,question,run,target_id,updated,user
bw6d44nh7dmn60e,page_view,2026-07-09 16:17:28.577Z,"{""from"": ""/questions/kppusrz7tvrdl1u/proposals/themes"", ""to"": ""/questions/kppusrz7tvrdl1u/proposals/question""}",2026-07-09 16:17:28.503Z,kppusrz7tvrdl1u,,,2026-07-09 16:17:28.577Z,de13859e1d6aea12
0br03ufnp5sckjb,page_view,2026-07-09 16:17:31.980Z,"{""from"": ""/questions/kppusrz7tvrdl1u/proposals/question"", ""to"": ""/groups/dub5b6pea1a68ta""}",2026-07-09 16:17:31.905Z,kppusrz7tvrdl1u,,,2026-07-09 16:17:31.980Z,de13859e1d6aea12
k9yyjbtk7xbp5h5,page_view,2026-07-09 16:17:38.585Z,"{""from"": ""/groups/dub5b6pea1a68ta"", ""to"": ""/questions/kppusrz7tvrdl1u/proposals/question""}",2026-07-09 16:17:38.507Z,kppusrz7tvrdl1u,,,2026-07-09 16:17:38.585Z,de13859e1d6aea12
g3mpqt3nm9zpp2e,page_view,2026-07-10 07:00:10.654Z,"{""from"": ""/login"", ""to"": ""/discourse""}",2026-07-10 07:00:11.329Z,,,,2026-07-10 07:00:10.654Z,bc56f126724fbb5b
an8mk6thghwy4ro,session_start,2026-07-10 07:00:13.260Z,"{""isMobile"": true, ""screenHeight"": 860, ""screenWidth"": 426, ""userAgent"": ""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36""}",2026-07-10 07:00:13.857Z,,,,2026-07-10 07:00:13.260Z,bc56f126724fbb5b
4kk68ftq6knnydl,page_view,2026-07-10 07:00:13.275Z,"{""to"": ""/discourse""}",2026-07-10 07:00:13.858Z,,,,2026-07-10 07:00:13.275Z,bc56f126724fbb5b
6wesl8up33t6319,page_view,2026-07-10 07:00:18.532Z,"{""from"": ""/discourse"", ""to"": ""/questions/fipe1arpisjzor5/proposals/question""}",2026-07-10 07:00:19.221Z,fipe1arpisjzor5,,,2026-07-10 07:00:18.532Z,bc56f126724fbb5b
8n6wwrg7qtc2atb,page_view,2026-07-10 07:00:30.332Z,"{""from"": ""/questions/fipe1arpisjzor5/proposals/question"", ""to"": ""/questions/fipe1arpisjzor5/proposals/ideas""}",2026-07-10 07:00:30.971Z,fipe1arpisjzor5,,,2026-07-10 07:00:30.332Z,bc56f126724fbb5b
294xufwh216bhk0,tab_switch,2026-07-10 07:02:36.353Z,"{""state"": ""visible""}",2026-07-10 07:02:36.981Z,,,,2026-07-10 07:02:36.353Z,bc56f126724fbb5b
dq93u2ao7z20epx,page_view,2026-07-10 07:02:37.516Z,"{""from"": ""/questions/fipe1arpisjzor5/proposals/ideas"", ""to"": ""/questions/fipe1arpisjzor5/proposals/question""}",2026-07-10 07:02:38.191Z,fipe1arpisjzor5,,,2026-07-10 07:02:37.516Z,bc56f126724fbb5b
dobrwemngljzmgm,page_view,2026-07-10 07:02:40.636Z,"{""from"": ""/questions/fipe1arpisjzor5/proposals/question"", ""to"": ""/discourse""}",2026-07-10 07:02:41.270Z,fipe1arpisjzor5,,,2026-07-10 07:02:40.636Z,bc56f126724fbb5b
mcprkjz1nuh6nos,page_view,2026-07-10 07:02:41.507Z,"{""from"": ""/discourse"", ""to"": ""/discourse""}",2026-07-10 07:02:42.180Z,fipe1arpisjzor5,,,2026-07-10 07:02:41.507Z,bc56f126724fbb5b
0swza8012sw50yf,page_view,2026-07-10 07:03:00.228Z,"{""from"": ""/discourse"", ""to"": ""/questions/fipe1arpisjzor5/proposals/question""}",2026-07-10 07:03:00.901Z,fipe1arpisjzor5,,,2026-07-10 07:03:00.228Z,bc56f126724fbb5b
1nz5hssjwbt1b68,page_view,2026-07-10 07:03:07.724Z,"{""from"": ""/questions/fipe1arpisjzor5/proposals/question"", ""to"": ""/questions/fipe1arpisjzor5/proposals/ideas""}",2026-07-10 07:03:08.370Z,fipe1arpisjzor5,,,2026-07-10 07:03:07.724Z,bc56f126724fbb5b
tj7f6radpmhyaqb,tab_switch,2026-07-10 07:10:46.994Z,"{""state"": ""visible""}",2026-07-10 07:10:46.961Z,,,,2026-07-10 07:10:46.994Z,bc56f126724fbb5b
ogol29dasv8yxwt,tab_switch,2026-07-10 09:25:04.241Z,"{""state"": ""visible""}",2026-07-10 09:25:04.171Z,,,,2026-07-10 09:25:04.241Z,de13859e1d6aea12
66t3ethlxsakg1o,page_view,2026-07-10 09:25:06.081Z,"{""from"": ""/questions/kppusrz7tvrdl1u/proposals/ideas"", ""to"": ""/questions/kppusrz7tvrdl1u/proposals/question""}",2026-07-10 09:25:06.065Z,kppusrz7tvrdl1u,,,2026-07-10 09:25:06.081Z,de13859e1d6aea12
x4m6e5disslzktq,page_view,2026-07-10 09:25:10.864Z,"{""from"": ""/questions/kppusrz7tvrdl1u/proposals/question"", ""to"": ""/questions/kppusrz7tvrdl1u/proposals/themes""}",2026-07-10 09:25:10.842Z,kppusrz7tvrdl1u,,,2026-07-10 09:25:10.864Z,de13859e1d6aea12
jv5f7k3zkfgtdem,session_start,2026-07-10 09:25:26.396Z,"{""isMobile"": false, ""screenHeight"": 847, ""screenWidth"": 1055, ""userAgent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36""}",2026-07-10 09:25:26.384Z,,,,2026-07-10 09:25:26.396Z,de13859e1d6aea12
hsl2vzv4soqrhoq,page_view,2026-07-10 09:25:26.493Z,"{""to"": ""/questions/kppusrz7tvrdl1u/proposals/themes""}",2026-07-10 09:25:26.481Z,kppusrz7tvrdl1u,,,2026-07-10 09:25:26.493Z,de13859e1d6aea12
4lk8t5as52yq15h,page_view,2026-07-10 09:32:31.713Z,"{""from"": ""/questions/kppusrz7tvrdl1u/proposals/themes"", ""to"": ""/questions/kppusrz7tvrdl1u/proposals/themes/5wh4mpsd8yz0n8g""}",2026-07-10 09:32:31.689Z,kppusrz7tvrdl1u,,,2026-07-10 09:32:31.713Z,de13859e1d6aea12
orggjo671kosqsb,page_view,2026-07-10 09:32:34.990Z,"{""from"": ""/questions/kppusrz7tvrdl1u/proposals/themes/5wh4mpsd8yz0n8g"", ""to"": ""/discourse""}",2026-07-10 09:32:34.956Z,kppusrz7tvrdl1u,,,2026-07-10 09:32:34.990Z,de13859e1d6aea12
0i37qr6drex2t3t,page_view,2026-07-10 09:32:37.285Z,"{""from"": ""/discourse"", ""to"": ""/questions/kppusrz7tvrdl1u/proposals/question""}",2026-07-10 09:32:37.272Z,kppusrz7tvrdl1u,,,2026-07-10 09:32:37.285Z,de13859e1d6aea12
qfr30ndb5g88cfb,page_view,2026-07-10 09:32:38.690Z,"{""from"": ""/questions/kppusrz7tvrdl1u/proposals/question"", ""to"": ""/questions/kppusrz7tvrdl1u/proposals/themes""}",2026-07-10 09:32:38.665Z,kppusrz7tvrdl1u,,,2026-07-10 09:32:38.690Z,de13859e1d6aea12
rlbyvemomojhta9,page_view,2026-07-10 09:32:39.515Z,"{""from"": ""/questions/kppusrz7tvrdl1u/proposals/themes"", ""to"": ""/questions/kppusrz7tvrdl1u/proposals/question""}",2026-07-10 09:32:39.499Z,kppusrz7tvrdl1u,,,2026-07-10 09:32:39.515Z,de13859e1d6aea12
lfd7cp090bzhnjn,page_view,2026-07-10 09:33:39.926Z,"{""from"": ""/questions/kppusrz7tvrdl1u/proposals/question"", ""to"": ""/questions/kppusrz7tvrdl1u/proposals/themes""}",2026-07-10 09:33:39.881Z,kppusrz7tvrdl1u,,,2026-07-10 09:33:39.926Z,de13859e1d6aea12
zvgdiv684cjp5ip,page_view,2026-07-10 09:33:52.495Z,"{""from"": ""/questions/kppusrz7tvrdl1u/proposals/themes"", ""to"": ""/discourse""}",2026-07-10 09:33:52.460Z,kppusrz7tvrdl1u,,,2026-07-10 09:33:52.495Z,de13859e1d6aea12
rj7oy5dy4c19t22,page_view,2026-07-10 09:33:53.470Z,"{""from"": ""/discourse"", ""to"": ""/questions/fipe1arpisjzor5/proposals/question""}",2026-07-10 09:33:53.440Z,fipe1arpisjzor5,,,2026-07-10 09:33:53.470Z,de13859e1d6aea12
8e4l12tmt9kajrh,page_view,2026-07-10 10:32:59.959Z,"{""to"": ""/questions/kppusrz7tvrdl1u/proposals/themes/18ln9fuzhusm5jx""}",2026-07-10 10:32:59.738Z,kppusrz7tvrdl1u,,,2026-07-10 10:32:59.959Z,2ca359773483ca75
9baj0jzhp5xfsof,session_start,2026-07-10 10:32:59.959Z,"{""isMobile"": false, ""screenHeight"": 923, ""screenWidth"": 1728, ""userAgent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36""}",2026-07-10 10:32:59.687Z,,,,2026-07-10 10:32:59.959Z,2ca359773483ca75
6tatzz90yk46ylm,page_view,2026-07-10 11:24:44.990Z,"{""from"": ""/login"", ""to"": ""/discourse""}",2026-07-10 11:24:44.849Z,,,,2026-07-10 11:24:44.990Z,2ca359773483ca75
ib475g989vaznmv,page_view,2026-07-10 11:24:53.677Z,"{""from"": ""/discourse"", ""to"": ""/questions/fipe1arpisjzor5/proposals/question""}",2026-07-10 11:24:53.511Z,fipe1arpisjzor5,,,2026-07-10 11:24:53.677Z,2ca359773483ca75
0fh1zwxacujprs4,page_view,2026-07-10 11:25:08.360Z,"{""from"": ""/questions/fipe1arpisjzor5/proposals/question"", ""to"": ""/questions/fipe1arpisjzor5/proposals/ideas""}",2026-07-10 11:25:08.153Z,fipe1arpisjzor5,,,2026-07-10 11:25:08.360Z,2ca359773483ca75
n4fhr8d5fpsz6dh,focus_exit,2026-07-10 11:25:18.759Z,,2026-07-10 11:25:18.759Z,fipe1arpisjzor5,,r1b7ompt9b76grh,2026-07-10 11:25:18.759Z,
wkzqo8bpk8ufnnw,vote_like,2026-07-10 11:25:18.763Z,,2026-07-10 11:25:18.762Z,fipe1arpisjzor5,,ky8ujsvwtkj6zix,2026-07-10 11:25:18.763Z,2ca359773483ca75
vs6utbonselwf9j,remix_solution,2026-07-10 11:27:48.509Z,,2026-07-10 11:27:48.493Z,fipe1arpisjzor5,,tab6wja68t8mppz,2026-07-10 11:27:48.509Z,2ca359773483ca75
2f9f0bs11p6adya,vote_like,2026-07-10 11:28:07.046Z,,2026-07-10 11:28:07.045Z,fipe1arpisjzor5,,agm69t6yeu7yw5u,2026-07-10 11:28:07.046Z,2ca359773483ca75
