run_id,study_id,config_id,seed,quality_model,agent_count,steps,converged,convergence_reason,vote_count,retract_count,unique_voters,active_agents,total_actions,mean_actions_per_agent,tab_foryou_pct,tab_notification_pct,tab_ballot_pct,root_count,remix_count,merge_count,proposal_count,total_subscriptions,subscription_gini,top_proposal_share,hhi,cluster_count,label_entropy,ballot_size,ballot_label_diversity,champion_count,final_root_count,final_remix_count,final_merge_count,unique_authors,elapsed_days,selection_efficiency,top_1_mean_quality,top_1_selection_efficiency,suboptimality_gap_top1,top_3_mean_quality,top_3_selection_efficiency,top_7_mean_quality,top_7_selection_efficiency,top_k_mean_quality,top_k_selection_efficiency,dag_mean_depth,dag_max_depth,siphon_migration_count,siphon_notification_evaluations,late_entrant_in_top5
dual_window_neither_n50_s42,dual_window,neither_n50,42,attention,50,33,False,target_duration_reached_30d,384,0,50,50,668,13.36,50.3,25.6,24.2,12,84,35,131,508,0.4457,0.0335,0.0133,21,3.7022,7,7,21,12,84,35,47,30.6,0.5306,3.4179,0.7857,0.9322,2.6658,0.6128,2.5974,0.5971,2.5974,0.5971,4.26,10,156,198,1
dual_window_neither_n50_s99,dual_window,neither_n50,99,attention,50,40,False,target_duration_reached_30d,467,0,50,50,802,16.04,50.7,23.9,25.4,13,132,25,170,622,0.4286,0.0305,0.0102,18,3.2247,7,7,18,13,132,25,48,30.7,0.4806,2.6921,0.4753,2.9723,3.9399,0.6956,3.3119,0.5847,3.3119,0.5847,5.2,11,168,221,1
dual_window_no_ballot_diversity_n100_s137,dual_window,no_ballot_diversity_n100,137,attention,100,34,False,target_duration_reached_30d,838,0,100,100,1399,13.99,45.6,27.2,27.2,12,174,54,240,1086,0.5611,0.0414,0.0133,21,3.613,7,7,21,12,174,54,90,30.5,0.7168,7.0242,0.8815,0.9441,6.8575,0.8606,5.924,0.7434,5.924,0.7434,6.84,11,324,433,2
dual_window_no_ballot_diversity_n100_s42,dual_window,no_ballot_diversity_n100,42,attention,100,36,False,target_duration_reached_30d,780,0,100,100,1423,14.23,36.3,31.9,31.8,12,173,61,246,1030,0.5194,0.0408,0.0109,21,3.5448,7,7,21,12,173,61,89,30.6,0.4006,4.3129,0.75,1.4376,3.3117,0.5759,3.0714,0.5341,3.0714,0.5341,4.7,8,400,551,2
dual_window_no_ballot_diversity_n100_s99,dual_window,no_ballot_diversity_n100,99,attention,100,36,False,target_duration_reached_30d,864,0,100,100,1484,14.84,48.7,28.6,22.7,12,200,62,274,1151,0.4653,0.0313,0.0084,21,3.2869,7,7,21,12,200,62,94,30.2,0.4416,3.313,0.6008,2.2017,3.2994,0.5983,2.9498,0.5349,2.9498,0.5349,6.05,10,349,488,3
dual_window_no_ballot_diversity_n50_s137,dual_window,no_ballot_diversity_n50,137,attention,50,34,False,target_duration_reached_30d,464,0,50,50,705,14.1,61.6,20.9,17.6,12,107,17,136,572,0.4149,0.0385,0.0129,19,3.1076,7,7,19,12,107,17,45,30.7,0.5128,5.9133,0.8109,1.3787,5.1463,0.7057,4.5742,0.6273,4.5742,0.6273,8.93,16,108,166,2
dual_window_no_ballot_diversity_n50_s42,dual_window,no_ballot_diversity_n50,42,attention,50,44,False,target_duration_reached_30d,447,0,50,50,843,16.86,34.6,34.3,31.1,12,106,42,160,610,0.427,0.0443,0.0121,20,3.6945,7,7,20,12,106,42,48,30.2,0.4972,3.0513,0.6011,2.0249,3.3629,0.6625,3.066,0.604,3.066,0.604,5.11,11,239,357,2
dual_window_no_ballot_diversity_n50_s99,dual_window,no_ballot_diversity_n50,99,attention,50,44,False,target_duration_reached_31d,444,0,50,50,809,16.18,30.6,29.1,40.4,12,101,45,158,582,0.4991,0.0378,0.0143,21,3.7012,7,7,21,12,101,45,47,31.6,0.4842,1.9064,0.4516,2.3148,2.2181,0.5255,2.0345,0.482,2.0345,0.482,4.23,9,210,291,0
dual_window_no_feed_routing_n100_s137,dual_window,no_feed_routing_n100,137,attention,100,36,False,target_duration_reached_32d,917,0,100,100,1465,14.65,65.0,28.2,6.8,12,173,53,238,1169,0.4385,0.0231,0.0072,20,3.4836,4,4,20,12,173,53,87,32.8,0.2598,2.9032,0.4953,2.9577,3.0392,0.5185,3.1728,0.5413,3.1728,0.5413,5.16,11,313,481,0
dual_window_no_feed_routing_n100_s42,dual_window,no_feed_routing_n100,42,attention,100,28,False,target_duration_reached_30d,709,0,100,100,1179,11.79,63.2,25.5,11.3,13,165,53,231,934,0.4538,0.0257,0.008,22,3.9164,5,5,22,13,165,53,86,30.2,0.3653,2.4371,0.4472,3.0127,2.5397,0.466,2.4434,0.4484,2.4434,0.4484,4.19,12,242,337,0
dual_window_no_feed_routing_n100_s99,dual_window,no_feed_routing_n100,99,attention,100,45,False,target_duration_reached_32d,1117,0,100,100,1845,18.45,62.8,27.4,9.9,13,259,68,340,1444,0.429,0.0152,0.005,21,3.509,2,2,21,13,259,68,98,32.6,0.4892,3.0586,0.4804,3.3082,2.4249,0.3809,3.549,0.5574,3.549,0.5574,5.25,11,391,577,1
dual_window_no_feed_routing_n50_s137,dual_window,no_feed_routing_n50,137,attention,50,43,False,target_duration_reached_30d,491,0,50,50,835,16.7,59.3,25.9,14.7,12,119,36,167,650,0.4375,0.0277,0.0104,19,3.3727,2,2,19,12,119,36,46,30.6,0.3711,4.4491,0.675,2.1422,3.9577,0.6004,4.167,0.6322,4.167,0.6322,6.34,12,180,257,0
dual_window_no_feed_routing_n50_s42,dual_window,no_feed_routing_n50,42,attention,50,38,False,target_duration_reached_32d,407,0,50,50,708,14.16,45.9,24.9,29.3,12,99,37,148,541,0.4565,0.0407,0.0126,19,3.9067,4,4,19,12,99,37,49,32.8,0.5291,2.3697,0.5779,1.7308,1.9961,0.4868,1.9099,0.4658,1.9099,0.4658,3.17,8,156,222,1
dual_window_no_feed_routing_n50_s99,dual_window,no_feed_routing_n50,99,attention,50,38,False,target_duration_reached_30d,446,0,50,50,776,15.52,58.1,25.5,16.4,10,110,34,154,590,0.4509,0.0424,0.012,20,3.017,3,3,20,10,110,34,49,30.7,0.3101,2.75,0.6579,1.4297,2.928,0.7005,2.5858,0.6187,2.5858,0.6187,3.47,7,179,231,1
scaling_frontier_newest_feed_n100_s137,scaling_frontier,newest_feed_n100,137,attention,100,27,False,target_duration_reached_30d,909,0,100,100,1286,12.86,87.7,10.5,1.8,12,203,59,274,1176,0.5286,0.0213,0.0079,21,3.4398,4,4,21,12,203,59,91,30.3,0.1108,1.832,0.1565,9.8708,3.2731,0.2797,4.9948,0.4268,4.9948,0.4268,13.76,27,106,138,1
scaling_frontier_newest_feed_n100_s42,scaling_frontier,newest_feed_n100,42,attention,100,44,False,target_duration_reached_30d,1474,0,100,100,1988,19.88,88.6,7.4,4.1,12,280,108,400,1849,0.5256,0.0168,0.0053,23,3.7079,5,5,23,12,280,108,99,30.9,0.0889,3.553,0.209,13.4481,3.3613,0.1977,5.0079,0.2946,5.0079,0.2946,18.3,40,117,150,1
scaling_frontier_newest_feed_n100_s99,scaling_frontier,newest_feed_n100,99,attention,100,50,True,target_duration_reached_30d,1666,0,100,100,2222,22.22,91.2,5.5,3.2,14,333,115,462,2092,0.5264,0.0182,0.0046,23,3.7156,2,2,23,14,333,115,99,30.1,0.1393,5.0484,0.2696,13.6754,6.2964,0.3363,8.1527,0.4354,8.1527,0.4354,20.07,46,97,125,3
scaling_frontier_newest_feed_n10_s137,scaling_frontier,newest_feed_n10,137,attention,10,22,False,target_duration_reached_30d,35,0,10,10,56,5.6,72.9,12.9,14.1,3,11,2,16,43,0.3387,0.1163,0.0849,4,1.1863,1,1,4,3,11,2,9,30.1,0.5131,0.765,0.1818,3.4434,1.9133,0.4546,2.1256,0.5051,2.1256,0.5051,2.88,5,8,11,0
scaling_frontier_newest_feed_n10_s42,scaling_frontier,newest_feed_n10,42,attention,10,53,False,target_duration_reached_33d,97,0,10,10,161,16.1,82.5,12.7,4.7,7,26,12,45,112,0.3738,0.0714,0.033,12,2.9881,1,1,12,7,26,12,10,33.1,0.9902,5.2,0.9902,0.0517,3.3641,0.6406,3.6593,0.6968,3.6593,0.6968,6.09,13,22,27,2
scaling_frontier_newest_feed_n10_s99,scaling_frontier,newest_feed_n10,99,attention,10,44,False,target_duration_reached_31d,65,0,10,10,108,10.8,62.7,13.0,24.3,3,19,8,30,82,0.2528,0.061,0.0402,9,2.7983,1,1,9,3,19,8,10,31.4,0.6279,1.3438,0.3834,2.1606,1.4674,0.4187,1.6181,0.4617,1.6181,0.4617,3.63,8,16,23,1
scaling_frontier_newest_feed_n200_s137,scaling_frontier,newest_feed_n200,137,attention,200,33,False,target_duration_reached_30d,2254,0,200,200,3086,15.43,86.8,7.5,5.7,13,512,108,634,2878,0.6489,0.0243,0.0063,20,3.2041,1,1,20,13,513,108,189,30.1,0.587,10.9001,0.587,7.6693,5.0591,0.2724,10.7696,0.58,10.7696,0.58,16.07,32,202,236,3
scaling_frontier_newest_feed_n200_s42,scaling_frontier,newest_feed_n200,42,attention,200,59,False,target_duration_reached_30d,3706,0,200,200,4992,24.96,91.5,6.5,2.0,12,740,264,1015,4703,0.6191,0.0087,0.0031,21,3.5878,3,3,21,12,740,263,198,31.0,0.1029,4.693,0.213,17.3442,8.0315,0.3645,7.0112,0.3182,7.0112,0.3182,26.38,56,273,330,1
scaling_frontier_newest_feed_n200_s99,scaling_frontier,newest_feed_n200,99,attention,200,43,False,target_duration_reached_30d,2923,0,200,200,3978,19.89,89.6,7.6,2.8,13,594,202,809,3715,0.6317,0.0113,0.0042,22,3.73,3,3,22,13,594,202,196,31.0,0.1226,4.2115,0.2576,12.1343,4.6615,0.2852,9.0132,0.5514,9.0132,0.5514,19.96,42,249,307,2
scaling_frontier_newest_feed_n25_s137,scaling_frontier,newest_feed_n25,137,attention,25,38,False,target_duration_reached_30d,280,0,25,25,396,15.84,78.9,8.0,13.1,8,65,20,93,351,0.385,0.0342,0.0159,16,3.0726,4,4,16,8,65,20,23,30.1,0.152,3.7081,0.3843,5.941,2.045,0.2119,3.871,0.4012,3.871,0.4012,7.91,18,26,36,2
scaling_frontier_newest_feed_n25_s42,scaling_frontier,newest_feed_n25,42,attention,25,49,False,target_duration_reached_30d,344,0,25,25,497,19.88,88.6,7.4,4.0,10,100,19,129,451,0.3462,0.0266,0.0109,19,2.8933,1,1,19,10,100,19,25,30.4,0.6008,8.8902,0.6008,5.9067,8.8932,0.601,8.3178,0.5621,8.3178,0.5621,15.75,33,27,41,2
scaling_frontier_newest_feed_n25_s99,scaling_frontier,newest_feed_n25,99,attention,25,40,False,target_duration_reached_32d,253,0,25,25,388,15.52,80.7,13.8,5.5,7,69,19,95,329,0.3786,0.0365,0.0162,18,3.2917,1,1,18,7,69,19,24,32.2,0.8856,1.5589,0.2079,5.9404,3.6308,0.4842,4.7496,0.6333,4.7496,0.6333,11.15,23,43,63,3
scaling_frontier_newest_feed_n400_s137,scaling_frontier,newest_feed_n400,137,attention,400,27,False,target_duration_reached_30d,3701,0,399,399,5098,12.74,91.5,8.3,0.2,13,777,255,1045,4748,0.697,0.0158,0.006,23,3.5232,3,3,23,13,777,255,370,30.3,0.0674,1.9056,0.1281,12.9748,6.9469,0.4669,9.2437,0.6212,9.2437,0.6212,13.72,27,355,428,4
scaling_frontier_newest_feed_n400_s42,scaling_frontier,newest_feed_n400,42,attention,400,26,False,target_duration_reached_32d,3423,0,400,400,4790,11.97,84.6,10.6,4.8,14,694,247,955,4389,0.6902,0.0212,0.0062,21,3.5182,3,3,21,14,694,247,364,32.8,0.2579,4.9587,0.4613,5.7901,5.1774,0.4817,6.8417,0.6365,6.8417,0.6365,12.17,25,415,522,3
scaling_frontier_newest_feed_n400_s99,scaling_frontier,newest_feed_n400,99,attention,400,40,False,target_duration_reached_31d,5436,0,400,400,7446,18.61,90.1,8.3,1.5,17,1135,357,1509,6950,0.7019,0.0145,0.0043,25,3.3448,4,4,25,17,1135,357,387,31.0,0.0632,2.3626,0.1299,15.8208,7.9026,0.4346,11.911,0.655,11.911,0.655,19.3,39,504,633,4
scaling_frontier_newest_feed_n50_s137,scaling_frontier,newest_feed_n50,137,attention,50,54,False,target_duration_reached_30d,852,0,50,50,1170,23.4,91.0,6.4,2.6,13,189,58,260,1070,0.4077,0.014,0.006,21,3.5771,3,3,21,13,189,58,50,30.3,0.0474,2.3115,0.1052,19.6604,4.6283,0.2106,9.2535,0.4211,9.2535,0.4211,25.28,49,61,77,0
scaling_frontier_newest_feed_n50_s42,scaling_frontier,newest_feed_n50,42,attention,50,47,False,target_duration_reached_30d,744,0,50,50,1043,20.86,88.8,7.9,3.3,12,200,30,242,959,0.4287,0.0229,0.0071,20,3.1721,1,1,20,12,200,30,50,31.0,0.8527,13.4712,0.8527,2.3276,6.7729,0.4287,7.3963,0.4682,7.3963,0.4682,18.74,40,60,87,2
scaling_frontier_newest_feed_n50_s99,scaling_frontier,newest_feed_n50,99,attention,50,42,False,target_duration_reached_30d,701,0,50,50,980,19.6,88.9,6.8,4.3,12,180,33,225,895,0.4102,0.0179,0.0071,23,3.4114,1,1,23,12,180,33,48,30.3,0.8206,12.3742,0.8206,2.7048,7.5694,0.502,10.1327,0.672,10.1327,0.672,17.16,36,57,69,3
scaling_frontier_random_feed_n100_s137,scaling_frontier,random_feed_n100,137,attention,100,32,False,target_duration_reached_30d,833,0,100,100,1320,13.2,69.4,26.8,3.8,13,173,52,238,1070,0.4266,0.0224,0.007,21,3.2476,3,3,21,13,173,52,87,30.3,0.2335,1.832,0.3184,3.9208,2.4283,0.4221,3.1788,0.5526,3.1788,0.5526,5.11,11,252,408,0
scaling_frontier_random_feed_n100_s42,scaling_frontier,random_feed_n100,42,attention,100,36,False,target_duration_reached_30d,881,0,100,100,1497,14.97,64.4,27.6,8.0,14,217,59,290,1151,0.4388,0.0217,0.006,22,3.6329,3,3,22,14,217,59,96,31.0,0.3852,3.8727,0.765,1.1893,2.7684,0.5469,2.5091,0.4957,2.5091,0.4957,4.35,10,329,467,1
scaling_frontier_random_feed_n100_s99,scaling_frontier,random_feed_n100,99,attention,100,26,False,target_duration_reached_30d,669,0,100,100,1096,10.96,67.0,24.4,8.6,12,165,54,231,891,0.4342,0.0202,0.0073,23,3.244,4,4,23,12,165,54,87,30.2,0.2387,2.0118,0.441,2.5496,2.6007,0.5701,2.2429,0.4917,2.2429,0.4917,4.32,9,199,302,0
scaling_frontier_random_feed_n10_s137,scaling_frontier,random_feed_n10,137,attention,10,42,False,target_duration_reached_30d,58,0,10,10,118,11.8,43.4,24.0,32.6,4,21,5,30,69,0.3802,0.1159,0.0527,8,2.609,2,2,8,4,21,5,9,30.1,0.3473,2.4221,0.5551,1.9415,2.4237,0.5554,2.0303,0.4653,2.0303,0.4653,2.57,6,33,42,2
scaling_frontier_random_feed_n10_s42,scaling_frontier,random_feed_n10,42,attention,10,29,False,target_duration_reached_30d,45,0,10,10,78,7.8,50.8,22.1,27.0,3,19,2,24,57,0.2946,0.0877,0.0532,5,1.5761,2,2,5,3,19,2,9,30.4,0.477,2.7567,0.8647,0.4314,2.1203,0.6651,1.7417,0.5463,1.7417,0.5463,3.54,6,12,27,1
scaling_frontier_random_feed_n10_s99,scaling_frontier,random_feed_n10,99,attention,10,31,False,target_duration_reached_30d,48,0,10,10,88,8.8,58.7,14.7,26.6,5,24,5,34,71,0.3558,0.0986,0.0458,7,2.0459,3,3,7,5,24,5,10,30.2,0.3931,2.9656,0.9499,0.1564,1.9767,0.6331,1.8268,0.5852,1.8268,0.5852,3.5,7,9,16,2
scaling_frontier_random_feed_n200_s137,scaling_frontier,random_feed_n200,137,attention,200,37,False,target_duration_reached_33d,1926,0,200,200,3129,15.64,62.4,27.0,10.7,13,437,114,564,2505,0.4435,0.0104,0.0031,24,3.7844,7,7,24,13,437,114,185,34.0,0.1788,1.4029,0.2395,4.455,2.5987,0.4436,2.691,0.4594,2.691,0.4594,4.12,12,642,950,0
scaling_frontier_random_feed_n200_s42,scaling_frontier,random_feed_n200,42,attention,200,44,False,target_duration_reached_31d,2167,0,200,200,3584,17.92,63.1,29.3,7.6,13,449,148,611,2796,0.4269,0.0118,0.0028,22,3.8332,6,6,22,13,449,149,187,31.3,0.2329,3.3473,0.4702,3.7711,2.9295,0.4115,2.6347,0.3701,2.6347,0.3701,5.44,17,808,1177,0
scaling_frontier_random_feed_n200_s99,scaling_frontier,random_feed_n200,99,attention,200,50,False,target_duration_reached_33d,2434,0,200,200,4021,20.11,61.8,29.2,9.0,13,494,177,684,3152,0.4455,0.0127,0.0027,21,3.8776,5,5,21,13,494,177,196,33.2,0.2961,3.3582,0.4726,3.7473,3.3243,0.4678,3.6737,0.517,3.6737,0.517,5.95,14,906,1339,1
scaling_frontier_random_feed_n25_s137,scaling_frontier,random_feed_n25,137,attention,25,35,False,target_duration_reached_30d,185,0,25,25,333,13.32,58.2,24.5,17.3,6,51,27,84,258,0.3232,0.0349,0.0161,18,3.4724,2,2,18,6,51,27,25,30.1,0.3226,1.9119,0.4923,1.9717,1.4134,0.3639,2.0303,0.5228,2.0303,0.5228,4.39,8,67,105,0
scaling_frontier_random_feed_n25_s42,scaling_frontier,random_feed_n25,42,attention,25,51,False,target_duration_reached_33d,260,0,25,25,465,18.6,66.0,27.3,6.7,11,86,15,112,360,0.4061,0.0278,0.0141,19,2.9899,1,1,19,11,86,15,25,33.1,0.5771,4.2354,0.5771,3.1037,4.2321,0.5767,4.4631,0.6081,4.4631,0.6081,6.54,14,96,159,0
scaling_frontier_random_feed_n25_s99,scaling_frontier,random_feed_n25,99,attention,25,46,False,target_duration_reached_30d,237,0,25,25,418,16.72,57.7,25.3,17.0,8,68,23,99,319,0.319,0.0251,0.0134,17,3.0602,2,2,17,8,68,23,24,30.0,0.4876,2.9016,0.4727,3.2371,3.897,0.6348,2.9271,0.4768,2.9271,0.4768,5.32,12,85,132,2
scaling_frontier_random_feed_n400_s137,scaling_frontier,random_feed_n400,137,attention,400,33,False,target_duration_reached_31d,3422,0,400,400,5611,14.03,67.3,27.3,5.4,14,748,252,1013,4474,0.4403,0.0087,0.0017,23,3.8036,4,4,23,14,748,251,365,32.0,0.1713,1.9056,0.2199,6.7584,2.6206,0.3025,3.9722,0.4585,3.9722,0.4585,5.86,13,1178,1694,0
scaling_frontier_random_feed_n400_s42,scaling_frontier,random_feed_n400,42,attention,400,37,False,target_duration_reached_31d,3793,0,400,400,6286,15.71,65.1,29.3,5.7,16,813,264,1093,4959,0.42,0.0071,0.0015,25,3.9139,5,5,25,16,813,264,360,31.0,0.2388,1.4119,0.196,5.793,3.4057,0.4727,3.6105,0.5011,3.6105,0.5011,5.55,15,1403,2050,1
scaling_frontier_random_feed_n400_s99,scaling_frontier,random_feed_n400,99,attention,400,42,False,target_duration_reached_30d,4187,0,400,400,7030,17.57,66.6,31.5,1.9,15,894,294,1203,5470,0.4241,0.0055,0.0014,22,3.7531,4,4,22,15,894,294,374,30.9,0.2076,2.3626,0.3017,5.4695,4.0097,0.512,4.5751,0.5842,4.5751,0.5842,6.52,15,1643,2500,0
scaling_frontier_random_feed_n50_s137,scaling_frontier,random_feed_n50,137,attention,50,31,False,target_duration_reached_32d,349,0,50,50,634,12.68,52.8,31.3,15.9,12,75,32,119,470,0.465,0.0489,0.0162,18,3.4973,3,3,18,12,75,32,45,32.4,0.2972,4.0403,0.706,1.6828,4.2757,0.7471,3.9331,0.6872,3.9331,0.6872,3.97,7,169,236,2
scaling_frontier_random_feed_n50_s42,scaling_frontier,random_feed_n50,42,attention,50,48,False,target_duration_reached_30d,551,0,50,50,917,18.34,60.5,26.4,13.1,12,107,44,163,700,0.4323,0.03,0.0103,22,3.805,5,5,22,12,107,44,46,30.0,0.3188,3.1825,0.6658,1.5976,3.3982,0.7109,3.4243,0.7164,3.4243,0.7164,3.58,8,206,287,1
scaling_frontier_random_feed_n50_s99,scaling_frontier,random_feed_n50,99,attention,50,46,False,target_duration_reached_31d,556,0,50,50,924,18.48,66.3,26.7,7.0,12,145,32,189,732,0.4019,0.0246,0.0084,23,3.0297,3,3,23,12,145,32,48,31.0,0.2196,1.5517,0.2677,4.2448,3.0596,0.5278,2.667,0.4601,2.667,0.4601,6.14,15,182,287,1
scaling_frontier_standard_pf_n100_s137,scaling_frontier,standard_pf_n100,137,attention,100,20,False,target_duration_reached_31d,513,0,100,100,843,8.43,55.6,24.4,20.0,12,125,24,161,684,0.4771,0.0497,0.0135,20,3.4812,4,4,20,12,125,24,79,31.0,0.2384,3.559,0.5522,2.8861,2.3186,0.3597,2.8079,0.4357,2.8079,0.4357,3.8,15,172,227,2
scaling_frontier_standard_pf_n100_s42,scaling_frontier,standard_pf_n100,42,attention,100,41,False,target_duration_reached_31d,888,0,100,100,1574,15.74,45.3,34.2,20.5,12,170,57,239,1166,0.5222,0.0515,0.0116,21,3.133,1,1,21,12,170,57,91,31.0,0.7333,4.836,0.7333,1.759,4.6179,0.7002,4.0079,0.6077,4.0079,0.6077,7.54,12,450,653,3
scaling_frontier_standard_pf_n100_s99,scaling_frontier,standard_pf_n100,99,attention,100,36,False,target_duration_reached_32d,840,0,100,100,1475,14.75,57.1,30.8,12.1,13,190,71,274,1114,0.4352,0.0359,0.0078,22,3.7391,4,4,22,13,190,71,93,32.0,0.2988,3.5193,0.7086,1.4471,2.6952,0.5427,2.5851,0.5205,2.5851,0.5205,6.49,14,364,515,2
scaling_frontier_standard_pf_n10_s137,scaling_frontier,standard_pf_n10,137,attention,10,48,False,target_duration_reached_30d,84,0,10,10,138,13.8,45.4,21.6,33.0,4,20,7,31,93,0.3482,0.0753,0.0452,9,2.4103,2,2,9,4,20,7,9,30.1,0.3651,2.834,0.6011,1.8807,2.8827,0.6114,2.2933,0.4864,2.2933,0.4864,2.94,7,26,42,4
scaling_frontier_standard_pf_n10_s42,scaling_frontier,standard_pf_n10,42,attention,10,50,False,target_duration_reached_33d,90,0,10,10,144,14.4,45.3,22.2,32.5,4,21,9,34,99,0.3449,0.0808,0.0409,9,2.1969,1,1,9,4,21,9,10,33.0,0.9145,5.3442,0.9145,0.4999,4.4814,0.7668,4.0373,0.6908,4.0373,0.6908,4.41,10,23,45,4
scaling_frontier_standard_pf_n10_s99,scaling_frontier,standard_pf_n10,99,attention,10,36,False,target_duration_reached_30d,62,0,10,10,107,10.7,46.0,25.9,28.1,5,14,6,25,73,0.3463,0.0959,0.0561,11,2.7239,1,1,11,5,14,6,9,30.1,0.7438,2.0866,0.7438,0.7185,1.8985,0.6768,2.0366,0.726,2.0366,0.726,2.8,8,23,36,2
scaling_frontier_standard_pf_n200_s137,scaling_frontier,standard_pf_n200,137,attention,200,37,False,target_duration_reached_30d,1755,0,200,200,3040,15.2,51.2,31.1,17.7,16,373,120,510,2280,0.5125,0.0294,0.0065,22,3.774,7,7,22,16,374,120,181,30.2,0.2241,3.9961,0.703,1.6884,3.1321,0.551,2.8977,0.5098,2.8977,0.5098,5.19,14,768,1070,2
scaling_frontier_standard_pf_n200_s42,scaling_frontier,standard_pf_n200,42,attention,200,36,False,target_duration_reached_30d,1840,0,200,200,3044,15.22,56.6,26.3,17.1,13,390,144,547,2417,0.5231,0.0285,0.0067,24,3.8858,7,7,24,13,390,144,188,30.3,0.2563,3.8394,0.7126,1.5485,3.3907,0.6293,3.4132,0.6335,3.4132,0.6335,5.49,13,660,884,4
scaling_frontier_standard_pf_n200_s99,scaling_frontier,standard_pf_n200,99,attention,200,36,False,target_duration_reached_30d,1702,0,200,200,2972,14.86,50.8,31.4,17.9,13,359,118,490,2227,0.551,0.0337,0.0078,20,3.3785,6,6,20,13,359,118,184,30.3,0.2724,4.045,0.7342,1.4642,3.2922,0.5976,3.3506,0.6082,3.3506,0.6082,3.56,8,770,1058,3
scaling_frontier_standard_pf_n25_s137,scaling_frontier,standard_pf_n25,137,attention,25,38,False,target_duration_reached_30d,252,0,25,25,397,15.88,59.4,22.8,17.8,7,52,16,75,300,0.3555,0.0433,0.0195,17,3.2695,1,1,17,7,52,16,25,30.1,0.8624,3.6212,0.6055,2.3592,3.0742,0.514,2.9648,0.4957,2.9648,0.4957,7.07,18,73,108,3
scaling_frontier_standard_pf_n25_s42,scaling_frontier,standard_pf_n25,42,attention,25,47,False,target_duration_reached_30d,272,0,25,25,451,18.04,57.4,22.8,19.9,8,82,18,108,353,0.3583,0.0397,0.0139,15,3.036,1,1,15,8,82,18,25,30.0,0.8558,4.3904,0.8558,0.7394,3.7761,0.7361,3.5183,0.6859,3.5183,0.6859,5.19,15,74,125,2
scaling_frontier_standard_pf_n25_s99,scaling_frontier,standard_pf_n25,99,attention,25,36,False,target_duration_reached_31d,218,0,25,25,359,14.36,57.5,24.0,18.5,11,50,17,78,274,0.3891,0.0584,0.021,16,3.1503,2,2,16,11,50,17,23,31.4,0.5074,5.9097,0.9062,0.6114,4.2066,0.6451,4.8168,0.7386,4.8168,0.7386,6.42,17,66,100,3
scaling_frontier_standard_pf_n400_s137,scaling_frontier,standard_pf_n400,137,attention,400,37,False,target_duration_reached_31d,3435,0,400,400,6163,15.41,51.2,34.3,14.6,15,740,254,1009,4649,0.6068,0.0318,0.007,23,3.5893,7,7,23,15,740,254,365,31.1,0.2228,4.6749,0.672,2.2814,4.6275,0.6652,4.9926,0.7177,4.9926,0.7177,3.38,6,1722,2390,2
scaling_frontier_standard_pf_n400_s42,scaling_frontier,standard_pf_n400,42,attention,400,48,False,target_duration_reached_30d,4296,0,400,400,7657,19.14,49.5,32.8,17.7,16,960,314,1290,5770,0.596,0.0291,0.0054,22,3.9392,6,6,22,16,960,314,377,30.7,0.2644,5.1993,0.8138,1.1894,4.6679,0.7306,4.1026,0.6422,4.1026,0.6422,3.96,9,2074,2864,3
scaling_frontier_standard_pf_n400_s99,scaling_frontier,standard_pf_n400,99,attention,400,35,False,target_duration_reached_30d,3326,0,400,400,5892,14.73,52.0,32.0,16.0,16,775,234,1025,4541,0.6207,0.0434,0.0085,23,3.5995,3,3,23,16,775,234,350,30.1,0.3665,4.732,0.7263,1.783,4.8293,0.7413,4.297,0.6596,4.297,0.6596,3.43,8,1544,2158,3
scaling_frontier_standard_pf_n50_s137,scaling_frontier,standard_pf_n50,137,attention,50,48,False,target_duration_reached_30d,683,0,50,50,1022,20.44,74.6,22.2,3.2,12,133,47,192,847,0.3618,0.0272,0.0079,22,3.7669,3,3,22,12,133,47,50,30.2,0.0879,2.0606,0.1739,9.788,5.7701,0.487,6.8471,0.5779,6.8471,0.5779,14.29,29,150,248,2
