id,responses,user
96z431g2ycw4udm,"{""building_on_ideas"": ""Das remixen brauchte eine kurze Eingew\u00f6hnungsphase, ging dann aber recht leicht von der Hand. Die richtige Sprache zu finden fand ich herausfordernd. Kurze pr\u00e4gnante Aussagen sind \u00fcbersichtlicher, k\u00f6nnen aber evtl nicht die gesamte Komplexit\u00e4t eines Problems darstellen. Bei zu langen Beitr\u00e4gen wird das Vergleichen und das Nachvollziehen von Ver\u00e4nderungen beim remixen sehr aufw\u00e4ndig und un\u00fcbersichtlich.\nIch bin mir nicht sicher ob ich das Labelsystem ausreichend verstanden und genutzt habe."", ""convergence_process"": ""Unterst\u00fctzt hat sicher die Vergleichs und Remix-Funktion, sowie die grafische Darstellung. Teilweise w\u00e4re es n\u00fctzlich gewesen mehr als 2 Ideen in einer L\u00f6sung zusammenzubringen. Dies in mehreren Teilschritten tun zu m\u00fcssen war umst\u00e4ndlich und sorgte f\u00fcr eine un\u00fcbersichtlichere grafische Darstellung. Teilweise fanden nicht nachvollziehbare Kreuzungen im Grafikteil statt, wo ein gerader Pfeil ausreichend und \u00fcbersichtlicher gewesen w\u00e4re."", ""fairness_legitimacy"": ""Die aufgeschl\u00fcsselte Rangliste der einzelnen Ideen vermittelte ein  gutes Bild \u00fcber die Meinungen in der Gruppe."", ""finding_quality"": ""Durch die bescheidene Anzahl Teilnehmer*innen standen bei gewissen Fragen wenig Remixes und somit wenig Labels zur Verf\u00fcgung. Die M\u00f6glichleit einzelne Beitr\u00e4ge zu w\u00e4hlen h\u00e4tte ich praktischer gefunden. "", ""improvements"": ""Ein schlankeres Design. Die M\u00f6glichkeit mehr als 2 Ideen verkn\u00fcpfen zu k\u00f6nnen. Freieres labeln der Beitr\u00e4ge. Die M\u00f6glichkeit einzelne Beitr\u00e4ge auf die Wahlliste zu setzen."", ""sus_1"": 3, ""sus_10"": 3, ""sus_2"": 4, ""sus_3"": 2, ""sus_4"": 3, ""sus_5"": 4, ""sus_6"": 1, ""sus_7"": 1, ""sus_8"": 3, ""sus_9"": 2}",4ae21a849ee008e7
4pcf3qcp04w9bef,"{""building_on_ideas"": ""Ja das war einfach. Meiner Meinung nach die beste Funktion"", ""convergence_process"": ""Remix von Ideen half am meisten. Es war schwer wenn mehrere Ideen gleichzeitig besprochen wurden."", ""fairness_legitimacy"": ""Es bevorzugt motivierte und engagierte Personen mit technischem flair. Man muss eine gewisse Startenergie investieren und oft wieder auf die Plattform um an der Diskussion zu bleiben. Das ist auch eine Zeitfrage"", ""finding_quality"": ""Rein intuitiv. Man muss oft auf die Plattform um zu sehen welche neuen Ideen oder Remixes da sind."", ""improvements"": ""Ein tutorial video w\u00e4re super"", ""sus_1"": 3, ""sus_10"": 4, ""sus_2"": 4, ""sus_3"": 2, ""sus_4"": 4, ""sus_5"": 3, ""sus_6"": 3, ""sus_7"": 2, ""sus_8"": 4, ""sus_9"": 3}",35a5f57f8816142e
ba508jxv9wr7ao4,"{""building_on_ideas"": ""Ja "", ""convergence_process"": ""Die Weiterentwicklung ist super nur ist es bei mehr teilnehmenden zunehmend schwieriger den gemeinsamen Konsens bzw. das beste aus allem wieder zu vereinen wenn begrenzt Zeit ist."", ""fairness_legitimacy"": ""Ja total\nEs ist rein demokratisch\nJe mehr Probanden desto klarer das Bild des Konsens"", ""finding_quality"": ""Ja \nFand ich gut"", ""improvements"": ""Klare anleitungsschritte und etwas fl\u00fcssigeres Bedienung\n(Leicht gesagt als Bauarbeiter...)"", ""sus_1"": 4, ""sus_10"": 1, ""sus_2"": 3, ""sus_3"": 4, ""sus_4"": 2, ""sus_5"": 4, ""sus_6"": 1, ""sus_7"": 4, ""sus_8"": 2, ""sus_9"": 3}",b209c2355deb9852
