id,question,ranks,user
77avqro3zs5ug39,76q0g006tjtp7gp,"[{""proposalId"": ""vixofkl1sb29k6z"", ""rank"": 1}]",4ae21a849ee008e7
0ujrnrf9kds8zpf,3o2fj1znev0krvz,"[{""proposalId"": ""y9eb6fxeu3zpepy"", ""rank"": 1}, {""proposalId"": ""gjnpljxyyh1y1fv"", ""rank"": 2}, {""proposalId"": ""px3acjduduouqz6"", ""rank"": 3}, {""proposalId"": ""uv9s9bhv4lnav3n"", ""rank"": 4}, {""proposalId"": ""nra27jcg8g8vvq8"", ""rank"": 5}, {""proposalId"": ""vee7zdpty5ijljm"", ""rank"": 6}]",4ae21a849ee008e7
yi2k1ozp2nserb1,3o2fj1znev0krvz,"[{""proposalId"": ""gjnpljxyyh1y1fv"", ""rank"": 1}, {""proposalId"": ""y9eb6fxeu3zpepy"", ""rank"": 2}, {""proposalId"": ""px3acjduduouqz6"", ""rank"": 3}, {""proposalId"": ""vee7zdpty5ijljm"", ""rank"": 4}, {""proposalId"": ""uv9s9bhv4lnav3n"", ""rank"": 5}, {""proposalId"": ""nra27jcg8g8vvq8"", ""rank"": 6}]",ee5e4e5bfc419bad
fqrsrgaf0hblabi,76q0g006tjtp7gp,"[{""proposalId"": ""vixofkl1sb29k6z"", ""rank"": 1}]",ee5e4e5bfc419bad
4zwgte0uzc1vugy,3o2fj1znev0krvz,"[{""proposalId"": ""y9eb6fxeu3zpepy"", ""rank"": 1}, {""proposalId"": ""nra27jcg8g8vvq8"", ""rank"": 2}, {""proposalId"": ""px3acjduduouqz6"", ""rank"": 3}, {""proposalId"": ""uv9s9bhv4lnav3n"", ""rank"": 4}, {""proposalId"": ""gjnpljxyyh1y1fv"", ""rank"": 5}, {""proposalId"": ""vee7zdpty5ijljm"", ""rank"": 6}]",407be8b01d4ce342
fkfs2al3ia1eec8,76q0g006tjtp7gp,"[{""proposalId"": ""vixofkl1sb29k6z"", ""rank"": 1}]",407be8b01d4ce342
