id,created,event_type,payload_json,reference_id,status,updated,user
ab8erulzyn8r7kt,2026-08-25 01:25:00.026Z,phase_ending_soon,"{""title"": ""Last chance to vote! \ud83c\udfc1"", ""body"": ""Voting on \""Wie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" ends soon. Don't miss your chance to decide!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_Voting_phase_ending_soon,pending,2026-08-25 01:25:00.026Z,3e36e627a64bac27
w925f9dy0nm6b6t,2026-08-25 01:25:00.027Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_Voting_phase_ending_soon,pending,2026-08-25 01:25:00.027Z,6a4af8b5c50c45a9
2vpg6gf1p3c0wl0,2026-08-25 01:25:00.029Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_Voting_phase_ending_soon,pending,2026-08-25 01:25:00.029Z,35a5f57f8816142e
es1lnnuyncvroqv,2026-08-25 01:25:00.031Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_Voting_phase_ending_soon,pending,2026-08-25 01:25:00.031Z,ee5e4e5bfc419bad
iqrt5ta24w1n2zx,2026-08-25 01:25:00.032Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_Voting_phase_ending_soon,pending,2026-08-25 01:25:00.032Z,762fef61cd09705e
2xp6u6t2gdzskmh,2026-08-25 01:25:00.032Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_Voting_phase_ending_soon,pending,2026-08-25 01:25:00.032Z,b5234477b29af758
czffndaw0wmff34,2026-08-25 01:25:00.034Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_Voting_phase_ending_soon,pending,2026-08-25 01:25:00.034Z,9b6849405eda0dbd
4c83jj5v6buctg7,2026-08-25 01:25:00.035Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_Voting_phase_ending_soon,pending,2026-08-25 01:25:00.035Z,7c575f07d0147059
f9cckpfbijzc1av,2026-08-25 01:25:00.036Z,phase_ending_soon,"{""title"": ""Letzte Chance zur Abstimmung! \ud83c\udfc1"", ""body"": ""Die Abstimmung zu \u201eWie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" endet bald. Verpasse nicht deine Chance mitzuentscheiden!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_Voting_phase_ending_soon,pending,2026-08-25 01:25:00.036Z,4ae21a849ee008e7
8weky2cx7zodw4f,2026-08-25 01:25:00.037Z,phase_ending_soon,"{""title"": ""Last chance to vote! \ud83c\udfc1"", ""body"": ""Voting on \""Wie definieren wir das WG-Netz und ihre Rolle in Winterthur?\"" ends soon. Don't miss your chance to decide!"", ""data"": {""url"": ""/questions/76q0g006tjtp7gp/proposals/question""}}",76q0g006tjtp7gp_Voting_phase_ending_soon,pending,2026-08-25 01:25:00.037Z,a656e6eac2dca9c8
