id,color,created,question,short_name,updated
izuxxogfqsiimy0,#60a5fa,2026-07-28 11:16:38.610Z,0w3z1e5u1y1d83t,Kollektive Liste - Preis gleichverteilt,2026-07-28 11:16:38.610Z
ahabnqhexrqxbrf,#60a5fa,2026-07-28 11:33:57.155Z,0w3z1e5u1y1d83t,Essen,2026-07-28 11:33:57.155Z
gnw5jw3s6fadtju,#34d399,2026-07-30 08:55:26.569Z,0w3z1e5u1y1d83t,Alles individuell bezahlen,2026-07-30 08:55:26.569Z
evih29e8mwnalc9,#60a5fa,2026-07-31 08:05:09.882Z,0w3z1e5u1y1d83t,Liste mit Lebensmittel erweitern,2026-07-31 08:05:09.882Z
3kkk4jj93zcg6xw,#4ade80,2026-07-31 08:26:21.207Z,0w3z1e5u1y1d83t,Liste erweitern,2026-07-31 08:26:21.207Z
r75b39f3q45tu4n,#c084fc,2026-08-01 08:35:16.521Z,0w3z1e5u1y1d83t,Untergrüppchen,2026-08-01 08:35:16.521Z
z66f041vbyh0984,#a78bfa,2026-08-03 10:28:56.776Z,0w3z1e5u1y1d83t,"Essen Für alle ""ausser""",2026-08-03 10:28:56.776Z
8cth6qiy8vugw0j,#a3e635,2026-08-03 12:24:57.109Z,0w3z1e5u1y1d83t,wir zahlen monatlich einen bestimmten Be,2026-08-03 12:24:57.109Z
j2vlg7z03d40l8v,#4ade80,2026-08-03 14:31:37.116Z,0w3z1e5u1y1d83t,Lieferung,2026-08-03 14:31:37.116Z
