id,action_type,created,metadata_json,occurred_at,question,run,target_id,updated,user
nrjreb2i8yxs2qz,page_view,2026-08-01 08:35:32.712Z,"{""from"": ""/questions/0w3z1e5u1y1d83t/proposals/ideas"", ""to"": ""/questions/0w3z1e5u1y1d83t/proposals/new""}",2026-08-01 08:35:33.398Z,0w3z1e5u1y1d83t,,,2026-08-01 08:35:32.712Z,34063db6dedf42bc
m0j8ho0j5t2i3w5,page_view,2026-08-01 08:35:38.511Z,"{""from"": ""/questions/0w3z1e5u1y1d83t/proposals/new"", ""to"": ""/questions/0w3z1e5u1y1d83t/proposals/ideas""}",2026-08-01 08:35:39.117Z,0w3z1e5u1y1d83t,,,2026-08-01 08:35:38.511Z,34063db6dedf42bc
z8r6qoiwm6zpoxj,session_start,2026-08-01 08:35:39.772Z,"{""isMobile"": true, ""screenHeight"": 770, ""screenWidth"": 411, ""userAgent"": ""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36""}",2026-08-01 08:35:40.454Z,,,,2026-08-01 08:35:39.772Z,34063db6dedf42bc
r7u9c8rag9djudu,feed_filter_change,2026-08-01 08:35:39.773Z,"{""feedTab"": ""foryou"", ""selectedLabelId"": null, ""sortMode"": ""Newest""}",2026-08-01 08:35:40.450Z,,,,2026-08-01 08:35:39.773Z,34063db6dedf42bc
ge2afnygeewj8g4,page_view,2026-08-01 08:35:39.779Z,"{""to"": ""/questions/0w3z1e5u1y1d83t/proposals/ideas""}",2026-08-01 08:35:40.455Z,0w3z1e5u1y1d83t,,,2026-08-01 08:35:39.779Z,34063db6dedf42bc
y3zlybqme9zlrpj,page_view,2026-08-01 08:35:44.399Z,"{""from"": ""/questions/0w3z1e5u1y1d83t/proposals/ideas"", ""to"": ""/questions/0w3z1e5u1y1d83t/proposals/new""}",2026-08-01 08:35:45.080Z,0w3z1e5u1y1d83t,,,2026-08-01 08:35:44.399Z,34063db6dedf42bc
fi19geduaqsjhpy,subscribe,2026-08-01 08:36:10.892Z,,2026-08-01 08:36:10.892Z,0w3z1e5u1y1d83t,,rcjsk2waeqw14pm,2026-08-01 08:36:10.892Z,34063db6dedf42bc
4pckkeal66un6ia,create_idea,2026-08-01 08:36:10.897Z,,2026-08-01 08:36:10.888Z,0w3z1e5u1y1d83t,,rcjsk2waeqw14pm,2026-08-01 08:36:10.897Z,34063db6dedf42bc
anxrnsbivvnwbo6,create_label,2026-08-01 08:36:10.899Z,"{""label_name"": ""Untergr\u00fcppchen""}",2026-08-01 08:36:10.888Z,0w3z1e5u1y1d83t,,r75b39f3q45tu4n,2026-08-01 08:36:10.899Z,34063db6dedf42bc
ryky7yi0vamfpas,proposal_view,2026-08-01 08:36:11.081Z,,2026-08-01 08:36:11.764Z,0w3z1e5u1y1d83t,,rcjsk2waeqw14pm,2026-08-01 08:36:11.081Z,34063db6dedf42bc
kbegg15pt37yujy,proposal_view,2026-08-01 08:36:11.084Z,,2026-08-01 08:36:11.774Z,0w3z1e5u1y1d83t,,rcjsk2waeqw14pm,2026-08-01 08:36:11.084Z,34063db6dedf42bc
s0ox908zepso0db,page_view,2026-08-01 08:36:11.095Z,"{""from"": ""/questions/0w3z1e5u1y1d83t/proposals/new"", ""to"": ""/questions/0w3z1e5u1y1d83t/proposals/rcjsk2waeqw14pm""}",2026-08-01 08:36:11.782Z,0w3z1e5u1y1d83t,,,2026-08-01 08:36:11.095Z,34063db6dedf42bc
yitgrxqixej52pv,page_view,2026-08-01 08:36:23.548Z,"{""from"": ""/questions/0w3z1e5u1y1d83t/proposals/rcjsk2waeqw14pm"", ""to"": ""/questions/0w3z1e5u1y1d83t/proposals/new""}",2026-08-01 08:36:24.239Z,0w3z1e5u1y1d83t,,,2026-08-01 08:36:23.548Z,34063db6dedf42bc
j0a71g2wof4xf17,page_view,2026-08-01 08:36:25.522Z,"{""from"": ""/questions/0w3z1e5u1y1d83t/proposals/new"", ""to"": ""/questions/0w3z1e5u1y1d83t/proposals/ideas""}",2026-08-01 08:36:26.178Z,0w3z1e5u1y1d83t,,,2026-08-01 08:36:25.522Z,34063db6dedf42bc
m2204wwk5jxu52o,feed_filter_change,2026-08-01 08:36:27.241Z,"{""feedTab"": ""foryou"", ""selectedLabelId"": null, ""sortMode"": ""Newest""}",2026-08-01 08:36:27.927Z,,,,2026-08-01 08:36:27.241Z,34063db6dedf42bc
0zr1sek4ubjvjzg,session_start,2026-08-01 08:36:27.247Z,"{""isMobile"": true, ""screenHeight"": 770, ""screenWidth"": 411, ""userAgent"": ""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36""}",2026-08-01 08:36:27.930Z,,,,2026-08-01 08:36:27.247Z,34063db6dedf42bc
gxwsjq4wvfzv82r,page_view,2026-08-01 08:36:27.257Z,"{""to"": ""/questions/0w3z1e5u1y1d83t/proposals/ideas""}",2026-08-01 08:36:27.932Z,0w3z1e5u1y1d83t,,,2026-08-01 08:36:27.257Z,34063db6dedf42bc
xymvc5hrnlbhywi,tab_switch,2026-08-01 08:39:23.271Z,"{""state"": ""visible""}",2026-08-01 08:39:23.765Z,,,,2026-08-01 08:39:23.271Z,34063db6dedf42bc
