id,question,ranks,user
wly8sxxnw1lfgpq,0w3z1e5u1y1d83t,"[{""proposalId"": ""ppkkg16jlpylazv"", ""rank"": 1}, {""proposalId"": ""l5sqzdyfozw6267"", ""rank"": 2}, {""proposalId"": ""spcuyp6qr3y1eq6"", ""rank"": 3}, {""proposalId"": ""i6o7tfr2opn951e"", ""rank"": 4}, {""proposalId"": ""n9fuozjh7xq5vuy"", ""rank"": 5}]",407be8b01d4ce342
t8a6on82ma86pq0,0w3z1e5u1y1d83t,"[{""proposalId"": ""ppkkg16jlpylazv"", ""rank"": 1}, {""proposalId"": ""spcuyp6qr3y1eq6"", ""rank"": 2}, {""proposalId"": ""l5sqzdyfozw6267"", ""rank"": 3}, {""proposalId"": ""i6o7tfr2opn951e"", ""rank"": 4}, {""proposalId"": ""n9fuozjh7xq5vuy"", ""rank"": 5}]",b003312e6c38c8a5
o77mywlv85ukxrx,0w3z1e5u1y1d83t,"[{""proposalId"": ""i6o7tfr2opn951e"", ""rank"": 1}, {""proposalId"": ""n9fuozjh7xq5vuy"", ""rank"": 2}, {""proposalId"": ""l5sqzdyfozw6267"", ""rank"": 3}, {""proposalId"": ""spcuyp6qr3y1eq6"", ""rank"": 4}, {""proposalId"": ""ppkkg16jlpylazv"", ""rank"": 5}]",155f1aa31205a1db
